Value,Count,ID,MU_GLOBAL,MU_SOURCE1,MU_SOURCE2,ISSOIL,SHARE,SEQ,SU_SYM74,SU_CODE74,SU_SYM85,SU_CODE85,SU_SYM90,SU_CODE90,T_TEXTURE,DRAINAGE,REF_DEPTH,AWC_CLASS,PHASE1,PHASE2,ROOTS,IL,SWR,ADD_PROP,T_GRAVEL,T_SAND,T_SILT,T_CLAY,T_USDA_TEX_CLASS,T_REF_BULK_DENSITY,T_OC,T_PH_H2O,T_CEC_CLAY,T_CEC_SOIL,T_BS,T_TEB,T_CACO3,T_CASO4,T_ESP,T_ECE,S_GRAVEL,S_SAND,S_SILT,S_CLAY,S_USDA_TEX_CLASS,S_REF_BULK_DENSITY,S_OC,S_PH_H2O,S_CEC_CLAY,S_CEC_SOIL,S_BS,S_TEB,S_CACO3,S_CASO4,S_ESP,S_ECE
11855,400,11855,11047,14215,0,1,100,1,,0,,0,CMc,65,1,5,100,3,0,0,0,0,0,0,5,76,12,12,11,1.55,0.36,8.2,37,10,97,8.4,3,0,7,0.2,9,70,14,16,11,1.5,0.34,8,36,22,84,7.9,5.5,0,4,0.4
11856,400,11856,11048,14216,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11857,100,11857,11049,14217,0,1,100,1,,0,,0,CMc,65,2,4,100,5,18,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11858,300,11858,11050,14218,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11859,300,11859,11051,14220,0,1,100,1,,0,,0,CMc,65,2,4,100,1,0,0,0,0,0,0,6,36,43,21,9,1.39,0.65,8,52,16,100,24.3,7,0,1,0.4,10,34,43,23,9,1.38,0.43,8.1,54,16,100,28.7,8.7,0.4,1,0.3
11860,200,11860,11052,14300,0,1,100,1,,0,,0,LVk,109,2,4,100,1,0,0,0,0,0,0,5,53,24,23,10,1.41,0.51,7.7,55,14,100,17.1,7.4,0,1,0.1,10,47,23,30,10,1.36,0.3,7.9,50,17,100,23.1,9.1,0,2,0.2
11861,100,11861,11053,14301,0,1,100,1,,0,,0,LVk,109,1,4,100,1,0,0,0,0,0,0,4,83,6,11,12,1.58,0.3,7.1,52,7,100,6.4,5.2,0,2,0.1,5,76,7,17,11,1.5,0.2,7.8,51,8,100,14.3,9.2,0,2,0.1
11862,200,11862,11054,14302,0,1,100,1,,0,,0,LVk,109,2,4,100,1,0,0,0,0,0,0,5,53,24,23,10,1.41,0.51,7.7,55,14,100,17.1,7.4,0,1,0.1,10,47,23,30,10,1.36,0.3,7.9,50,17,100,23.1,9.1,0,2,0.2
11863,100,11863,11055,14303,0,1,100,1,,0,,0,LVk,109,2,4,100,1,0,0,0,0,0,0,5,53,24,23,10,1.41,0.51,7.7,55,14,100,17.1,7.4,0,1,0.1,10,47,23,30,10,1.36,0.3,7.9,50,17,100,23.1,9.1,0,2,0.2
11864,500,11864,11056,14304,0,1,100,1,,0,,0,LVk,109,2,4,100,1,0,0,0,0,0,0,5,53,24,23,10,1.41,0.51,7.7,55,14,100,17.1,7.4,0,1,0.1,10,47,23,30,10,1.36,0.3,7.9,50,17,100,23.1,9.1,0,2,0.2
11865,100,11865,11057,14305,0,1,100,1,,0,,0,LVk,109,2,4,100,1,0,0,0,0,0,0,5,53,24,23,10,1.41,0.51,7.7,55,14,100,17.1,7.4,0,1,0.1,10,47,23,30,10,1.36,0.3,7.9,50,17,100,23.1,9.1,0,2,0.2
11866,100,11866,11058,14308,0,1,100,1,,0,,0,LVk,109,2,4,100,1,0,0,0,0,0,0,5,53,24,23,10,1.41,0.51,7.7,55,14,100,17.1,7.4,0,1,0.1,10,47,23,30,10,1.36,0.3,7.9,50,17,100,23.1,9.1,0,2,0.2
11867,200,11867,11059,14309,0,1,100,1,,0,,0,LVk,109,3,4,100,1,0,0,0,0,0,0,4,34,22,44,3,1.28,0.63,8,64,25,100,26.2,9,0,2,0.6,8,30,21,49,3,1.26,0.3,8.2,62,28,100,28.4,9,0,5,2.9
11868,100,11868,11060,14310,0,1,100,1,,0,,0,LVk,109,1,4,100,1,0,0,0,0,0,0,4,83,6,11,12,1.58,0.3,7.1,52,7,100,6.4,5.2,0,2,0.1,5,76,7,17,11,1.5,0.2,7.8,51,8,100,14.3,9.2,0,2,0.1
11869,700,11869,11061,14311,0,1,100,1,,0,,0,LVk,109,2,4,100,1,0,0,0,0,0,0,5,53,24,23,10,1.41,0.51,7.7,55,14,100,17.1,7.4,0,1,0.1,10,47,23,30,10,1.36,0.3,7.9,50,17,100,23.1,9.1,0,2,0.2
11870,400,11870,11062,14312,0,1,100,1,,0,,0,LVk,109,2,4,100,1,0,0,0,0,0,0,5,53,24,23,10,1.41,0.51,7.7,55,14,100,17.1,7.4,0,1,0.1,10,47,23,30,10,1.36,0.3,7.9,50,17,100,23.1,9.1,0,2,0.2
11871,200,11871,11063,14316,0,1,100,1,,0,,0,LVk,109,2,4,100,1,0,0,0,0,0,0,5,53,24,23,10,1.41,0.51,7.7,55,14,100,17.1,7.4,0,1,0.1,10,47,23,30,10,1.36,0.3,7.9,50,17,100,23.1,9.1,0,2,0.2
11872,300,11872,11064,14317,0,1,100,1,,0,,0,LVk,109,2,4,100,1,0,0,0,0,0,0,5,53,24,23,10,1.41,0.51,7.7,55,14,100,17.1,7.4,0,1,0.1,10,47,23,30,10,1.36,0.3,7.9,50,17,100,23.1,9.1,0,2,0.2
11873,600,11873,11065,14400,0,1,100,1,,0,,0,LVg,113,2,2,100,1,0,0,0,0,0,0,5,47,29,24,9,1.39,0.83,6.3,46,16,93,14.9,0,0,2,0.1,6,39,27,34,5,1.33,0.28,7,44,16,99,15.9,0.4,0,2,0.1
11874,300,11874,11066,14403,0,1,100,1,,0,,0,LVg,113,2,2,100,0,0,0,0,0,0,0,5,47,29,24,9,1.39,0.83,6.3,46,16,93,14.9,0,0,2,0.1,6,39,27,34,5,1.33,0.28,7,44,16,99,15.9,0.4,0,2,0.1
